time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-20T00:21:11.190Z,19.3431663513184,-155.186172485352,1.53999996185303,2.02,ml,42,75,,0.180000007,hv,hv72476012,2021-05-20T00:26:53.530Z,"12 km SSE of Volcano, Hawaii",earthquake,0.3,0.49000001,0.22,9,automatic,hv,hv
2021-05-20T00:19:40.330Z,19.2019996643066,-155.452835083008,35.0099983215332,1.72000003,md,38,213,,0.129999995,hv,hv72476002,2021-05-20T00:22:48.330Z,"2 km E of Pāhala, Hawaii",earthquake,0.9,0.779999971,0.469999999,5,automatic,hv,hv
2021-05-20T00:15:41.750Z,19.3361663818359,-155.135498046875,2.16000008583069,1.71000004,md,37,122,,0.200000003,hv,hv72475997,2021-05-20T00:19:10.320Z,"14 km S of Fern Forest, Hawaii",earthquake,0.41,0.889999986,0.949999988,18,automatic,hv,hv
2021-05-20T00:03:09.150Z,38.8371658,-122.8089981,1.73,1.36,md,16,57,0.01995,0.03,nc,nc73564765,2021-05-20T02:15:12.343Z,"8km WNW of Cobb, CA",earthquake,0.21,0.53,0.08,4,automatic,nc,nc
2021-05-19T23:56:13.461Z,38.8577,-117.9516,11.1,2.8,ml,22,46.36,0.224,0.1056,nn,nn00807623,2021-05-20T00:43:25.744Z,"2 km WSW of Gabbs, Nevada",earthquake,,1.6,0.49,10,reviewed,nn,nn
2021-05-19T23:41:52.976Z,60.002,-148.551,22.1,1.7,ml,,,,0.81,ak,ak0216e9n401,2021-05-19T23:48:16.548Z,"Kenai Peninsula, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-05-19T23:16:22.971Z,35.24082184,-97.83222198,5.865730762,1.93,ml,20,80.82473755,0.05695101246,0.724169905,ok,ok2021jtxj,2021-05-19T23:18:37.063Z,"5 km SSW of Tuttle, Oklahoma",earthquake,2.8704291,3.811675888,,16,automatic,ok,ok
2021-05-19T23:14:55.201Z,61.7856,-146.1085,34.2,2.8,ml,,,,0.83,ak,ak0216e9hbtm,2021-05-19T23:35:32.040Z,"33 km S of Tolsona, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-05-19T23:06:49.426Z,52.3147,160.4295,35,4.1,mb,,192,1.295,1.11,us,us7000e4le,2021-05-19T23:56:09.040Z,"145 km SE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.8,2,0.144,13,reviewed,us,us
2021-05-19T22:49:33.009Z,61.8909,-150.3184,3.9,1.6,ml,,,,0.52,ak,ak0216e93cl2,2021-05-19T22:53:50.537Z,"21 km NW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-05-19T22:48:28.525Z,38.1596,-117.9038,10.3,1.2,ml,20,97.04,0.025,0.1168,nn,nn00807619,2021-05-19T23:24:38.236Z,"31 km SE of Mina, Nevada",earthquake,,0.7,0.13,7,reviewed,nn,nn
2021-05-19T22:44:43.100Z,38.1724,-117.8426,7.9,1.1,ml,8,136.7,0.028,0.1324,nn,nn00807617,2021-05-19T22:59:52.881Z,"33 km SE of Mina, Nevada",earthquake,,1.5,0.43,6,reviewed,nn,nn
2021-05-19T22:28:29.190Z,35.7366667,-117.5205,3.56,1.01,ml,11,143,0.1007,0.1,ci,ci39659143,2021-05-19T23:28:06.518Z,"11km WSW of Searles Valley, CA",earthquake,0.42,0.82,0.249,3,reviewed,ci,ci
2021-05-19T22:25:56.340Z,19.1866664886475,-155.445495605469,35.9099998474121,1.86000001,md,27,166,,0.119999997,hv,hv72475847,2021-05-19T22:29:03.040Z,"3 km ESE of Pāhala, Hawaii",earthquake,0.69,0.949999988,1.89999998,4,automatic,hv,hv
2021-05-19T22:19:56.790Z,37.5181667,-118.7726667,5.77,1.5,md,20,113,0.08461,0.03,nc,nc73564745,2021-05-20T01:23:15.033Z,"10km WSW of Toms Place, CA",earthquake,0.32,1.16,0.164,18,reviewed,nc,nc
2021-05-19T22:14:52.730Z,38.8333321,-122.8184967,1.61,0.85,md,12,58,0.01427,0.01,nc,nc73564740,2021-05-19T23:36:19.444Z,"8km NW of The Geysers, CA",earthquake,0.25,0.8,,1,automatic,nc,nc
2021-05-19T22:08:16.798Z,66.211,-156.7061,0,1.7,ml,,,,1.12,ak,ak0216e8uiz3,2021-05-19T22:14:36.194Z,"58 km NNW of Huslia, Alaska",earthquake,,0.3,,,automatic,ak,ak
