time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-18T01:12:25.510Z,38.7036667,-122.9338333,1.31,0.66,md,27,270,0.09115,0.06,nc,nc73564010,2021-05-19T18:16:19.503Z,"12km NNW of Healdsburg, CA",earthquake,0.87,2.15,0.007,5,reviewed,nc,nc
2021-05-18T01:02:28.819Z,60.1699,-152.9666,113.8,1.1,ml,,,,0.56,ak,ak0216c8rtdh,2021-05-18T01:09:25.502Z,"73 km WNW of Happy Valley, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-05-18T01:00:37.150Z,38.8238333,-122.754,2.71,-0.07,md,7,233,0.01409,0.01,nc,nc73564005,2021-05-18T07:49:41.894Z,"3km W of Cobb, CA",earthquake,0.84,0.35,,1,reviewed,nc,nc
2021-05-18T00:58:31.799Z,50.8164,179.6766,11.9,3,ml,,,,0.79,ak,ak0216c8ifbh,2021-05-18T17:05:06.985Z,"282 km WSW of Adak, Alaska",earthquake,,8.6,,,reviewed,ak,ak
2021-05-18T00:41:50.200Z,19.1931666666667,-155.489,33.22,2.75,md,59,118,,0.12,hv,hv72473077,2021-05-18T01:53:46.105Z,"1 km SW of Pāhala, Hawaii",earthquake,0.48,0.59,0.132161963251165,25,reviewed,hv,hv
2021-05-18T00:38:06.870Z,38.8338318,-122.8103333,2.1,1.18,md,17,45,0.01042,0.02,nc,nc73564000,2021-05-18T02:13:12.731Z,"8km W of Cobb, CA",earthquake,0.26,0.6,,1,automatic,nc,nc
2021-05-18T00:36:33.050Z,36.5705,-121.0638333,9.83,1.49,md,23,123,0.0211,0.1,nc,nc73563995,2021-05-18T23:07:21.217Z,"8km ENE of Pinnacles, CA",earthquake,0.33,0.35,0.288,23,reviewed,nc,nc
2021-05-18T00:16:57.814Z,38.1712,-117.7643,6.1,1.2,ml,19,88.45,0.058,0.1365,nn,nn00807473,2021-05-18T16:51:11.556Z,"Nevada",earthquake,,1.2,0.28,8,reviewed,nn,nn
2021-05-18T00:15:53.880Z,38.8341675,-122.8051682,1.68,1.17,md,19,64,0.01142,0.03,nc,nc73563990,2021-05-18T01:30:12.485Z,"7km W of Cobb, CA",earthquake,0.21,0.54,,1,automatic,nc,nc
2021-05-18T00:15:34.490Z,38.8343315,-122.8058319,2.16,0.36,md,9,65,0.01141,0.01,nc,nc73563985,2021-05-18T00:38:14.646Z,"7km W of Cobb, CA",earthquake,0.46,1.53,,1,automatic,nc,nc
2021-05-18T00:13:08.240Z,33.314,-116.3288333,13.3,0.88,ml,38,104,0.0345,0.22,ci,ci39656591,2021-05-18T21:04:37.479Z,"8km NNE of Borrego Springs, CA",earthquake,0.33,0.59,0.117,13,reviewed,ci,ci
2021-05-18T00:11:29.750Z,38.8219986,-122.7646637,2.34,0.96,md,10,119,0.009401,0.01,nc,nc73563980,2021-05-18T00:29:15.595Z,"4km W of Cobb, CA",earthquake,0.45,0.73,0.28,2,automatic,nc,nc
2021-05-18T00:01:46.740Z,38.8139992,-122.8284988,2.52,0.36,md,8,172,0.005151,0.01,nc,nc73563975,2021-05-18T00:03:23.211Z,"8km WNW of The Geysers, CA",earthquake,0.73,0.95,,1,automatic,nc,nc
2021-05-17T23:58:42.543Z,42.0891,143.9946,31.47,4.2,mb,,181,0.628,0.25,us,us7000e3yq,2021-05-18T00:17:35.040Z,"103 km SSW of Kushiro, Japan",earthquake,8.7,9.9,0.118,20,reviewed,us,us
2021-05-17T23:57:57.040Z,19.1604995727539,-155.459335327148,35.0800018310547,2.08999991,md,30,169,,0.119999997,hv,hv72473022,2021-05-18T00:01:14.930Z,"Island of Hawaii, Hawaii",earthquake,0.8,0.689999998,1.58000004,15,automatic,hv,hv
2021-05-17T23:56:30.799Z,31.97753906,-102.3304116,7.434244792,2,ml,16,45,0.02371527188,0.1,tx,tx2021jqhv,2021-05-18T17:08:44.581Z,"6 km SE of Gardendale, Texas",earthquake,1.037732829,0.9350318417,0.1,6,reviewed,tx,tx
2021-05-17T23:48:30.330Z,39.4203333,-110.3096667,-2.07,1.51,md,8,196,0.01253,0.14,uu,uu60436317,2021-05-18T15:25:02.450Z,"16 km SSE of Sunnyside, Utah",earthquake,0.61,0.7,0.164,6,reviewed,uu,uu
2021-05-17T23:26:24.701Z,38.1572,-117.8992,8.8,1.2,ml,11,106.33,0.021,0.0764,nn,nn00807471,2021-05-17T23:29:39.772Z,"31 km SE of Mina, Nevada",earthquake,,0.7,0.37,6,automatic,nn,nn
2021-05-17T23:22:59.710Z,33.8356667,-116.1245,2.61,1.08,ml,33,58,0.0896,0.2,ci,ci39656567,2021-05-19T00:52:09.457Z,"15km NNE of Indio, CA",earthquake,0.23,0.44,0.11,25,reviewed,ci,ci
2021-05-17T23:22:31.184Z,61.4344,-150.5077,69.1,1,ml,,,,0.39,ak,ak0216aygaq6,2021-05-17T23:25:01.157Z,"12 km S of Susitna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-05-17T23:19:45.600Z,44.2895,-114.9638333,1.51,1.51,ml,9,111,0.082,0.17,mb,mb80502504,2021-05-19T21:59:35.940Z,"8 km NNW of Stanley, Idaho",earthquake,0.39,1.1,0.258,8,reviewed,mb,mb
2021-05-17T23:19:26.180Z,17.9406,-67.0126,6,2.74,md,9,231,0.1172,0.08,pr,pr2021137007,2021-05-17T23:54:48.422Z,"5 km SE of La Parguera, Puerto Rico",earthquake,0.49,0.29,0.32,5,reviewed,pr,pr
2021-05-17T23:15:09.629Z,66.3252,-157.1251,4.4,1.4,ml,,,,0.52,ak,ak0216ayer1r,2021-05-17T23:26:41.509Z,"62 km S of Shungnak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-05-17T23:14:17.570Z,37.57,-118.829,3.37,1.9,md,26,101,0.01999,0.08,nc,nc73563970,2021-05-18T01:51:15.601Z,"13km W of Toms Place, CA",earthquake,0.25,0.46,0.17,27,reviewed,nc,nc
2021-05-17T23:13:02.708Z,60.484,-143.0318,0,2.1,ml,,,,0.66,ak,ak0216ayeb3f,2021-05-17T23:19:10.009Z,"105 km S of McCarthy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-05-17T22:54:02.030Z,48.7018333333333,-120.373,1.13,1.68,ml,10,189,0.2938,0.26,uw,uw61733416,2021-05-18T04:09:41.600Z,"28 km NNW of Winthrop, Washington",earthquake,1.01,2.35,0.247615312893264,5,reviewed,uw,uw
2021-05-17T22:51:29.357Z,60.2059,-152.3107,76.7,1.1,ml,,,,0.39,ak,ak0216ay12qv,2021-05-17T22:56:36.997Z,"39 km WNW of Ninilchik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-05-17T22:50:14.639Z,61.2325,-150.7727,35.4,1.7,ml,,,,0.81,ak,ak0216ay0tv6,2021-05-17T22:56:36.823Z,"19 km ENE of Beluga, Alaska",earthquake,,3,,,automatic,ak,ak
2021-05-17T22:43:04.480Z,38.8349991,-122.8069992,2.02,0.85,md,9,66,0.01183,0.01,nc,nc73563965,2021-05-17T22:59:14.283Z,"7km W of Cobb, CA",earthquake,0.37,1.48,,1,automatic,nc,nc
2021-05-17T22:35:58.600Z,44.286,-115.0776667,11.05,1.91,ml,9,72,0.109,0.18,mb,mb80502499,2021-05-19T21:51:57.930Z,"13 km NW of Stanley, Idaho",earthquake,0.59,0.75,0.188,9,reviewed,mb,mb
2021-05-17T22:35:35.460Z,34.308,-119.1433333,17.87,1.16,ml,4,261,0.03629,0.18,ci,ci39656559,2021-05-17T23:53:27.921Z,"9km ENE of Ventura, CA",earthquake,1.2,0.98,0.329,3,reviewed,ci,ci
2021-05-17T22:33:15.739Z,60.9534,-149.1016,13,2.5,ml,,,,0.61,ak,ak0216axx6r4,2021-05-18T17:19:08.107Z,"3 km ENE of Girdwood, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-05-17T22:32:40.350Z,19.1499996185303,-155.47883605957,34.8199996948242,1.86000001,md,28,166,,0.150000006,hv,hv72472902,2021-05-17T22:36:02.860Z,"5 km S of Pāhala, Hawaii",earthquake,0.73,1,,4,automatic,hv,hv
2021-05-17T22:30:40.470Z,32.6013333,-116.99,-0.42,1.87,ml,37,190,0.1398,0.24,ci,ci39656535,2021-05-18T23:28:14.511Z,"6km ESE of Chula Vista, CA",quarry blast,0.69,31.61,0.129,29,reviewed,ci,ci
2021-05-17T22:25:41.358Z,59.8732,-153.5827,132.8,1.3,ml,,,,0.78,ak,ak0216axvj1z,2021-05-17T22:31:42.831Z,"30 km ENE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-05-17T22:25:32.890Z,44.2823333,-115.0916667,9.25,1.66,ml,8,125,0.114,0.23,mb,mb80502489,2021-05-19T21:46:19.190Z,"14 km WNW of Stanley, Idaho",earthquake,0.7,1.14,0.213,9,reviewed,mb,mb
2021-05-17T22:24:21.490Z,34.212,-117.4585,9.63,0.84,ml,11,102,0.1193,0.1,ci,ci37474797,2021-05-17T23:39:51.800Z,"5km WSW of Devore, CA",earthquake,0.29,0.59,0.134,2,reviewed,ci,ci
2021-05-17T22:23:51.690Z,34.2171667,-117.4623333,10.33,1.26,ml,41,35,0.02363,0.2,ci,ci39656511,2021-05-17T23:29:56.163Z,"6km W of Devore, CA",earthquake,0.22,0.38,0.104,33,reviewed,ci,ci
2021-05-17T22:07:38.550Z,35.5345,-117.5065,3.33,-0.33,ml,3,272,0.06322,0.07,ci,ci39656495,2021-05-17T23:55:11.935Z,"18km ESE of Ridgecrest, CA",earthquake,0.81,3.65,,1,reviewed,ci,ci
2021-05-17T21:57:36.390Z,35.115,-95.38866667,7.68,1.29,ml,32,184,0.1088786343,0.23,ok,ok2021jqdw,2021-05-19T22:20:40.907Z,"1 km WSW of Quinton, Oklahoma",earthquake,,0.6,0.35,4,reviewed,ok,ok
2021-05-17T21:41:25.510Z,38.8183327,-122.7971649,0.78,0.74,md,13,51,0.01045,0.05,nc,nc73563960,2021-05-17T22:21:13.053Z,"6km NW of The Geysers, CA",earthquake,0.29,0.7,0.1,2,automatic,nc,nc
2021-05-17T21:39:09.024Z,62.8882,-149.7408,49.6,2,ml,,,,0.85,ak,ak0216axd0ws,2021-05-17T21:52:38.355Z,"52 km NNE of Chase, Alaska",earthquake,,3,,,automatic,ak,ak
2021-05-17T21:32:54.670Z,38.8414993,-122.8239975,1.79,0.86,md,16,69,0.009432,0.02,nc,nc73563955,2021-05-17T22:10:12.430Z,"9km WNW of Cobb, CA",earthquake,0.26,0.63,,1,automatic,nc,nc
2021-05-17T21:30:29.679Z,35.13533333,-95.34816667,14.68,1.62,ml,41,130,0.1196765154,0.26,ok,ok2021jqcz,2021-05-19T15:15:23.371Z,"2 km ENE of Quinton, Oklahoma",earthquake,,0.9,0.13,5,reviewed,ok,ok
2021-05-17T21:29:16.260Z,38.8429985,-122.8799973,2.39,1.16,md,20,99,0.005479,0.02,nc,nc73563950,2021-05-17T21:59:14.908Z,"13km ENE of Cloverdale, CA",earthquake,0.29,0.49,0.05,3,automatic,nc,nc
2021-05-17T21:29:16.021Z,29.6566,141.468,35,4.5,mb,,113,2.628,1.28,us,us7000e3xx,2021-05-17T21:53:17.040Z,"Izu Islands, Japan region",earthquake,8.7,1.9,0.091,36,reviewed,us,us
2021-05-17T21:21:42.530Z,38.5149994,-122.5938339,5.96,2.04,md,32,125,0.1368,0.06,nc,nc73563945,2021-05-17T21:48:13.313Z,"7km S of Calistoga, CA",earthquake,0.37,1.47,0.1,22,automatic,nc,nc
2021-05-17T21:20:03.440Z,17.9751,-66.903,12,2.56,md,10,203,0.2089,0.13,pr,pr2021137006,2021-05-17T21:52:02.918Z,"0 km NE of Guánica, Puerto Rico",earthquake,0.58,0.49,0.1,5,reviewed,pr,pr
2021-05-17T21:15:18.665Z,60.0976,-151.004,46.8,1.2,ml,,,,0.22,ak,ak0216ax7wje,2021-05-17T21:19:34.255Z,"26 km SE of Clam Gulch, Alaska",earthquake,,1.6,,,automatic,ak,ak
2021-05-17T21:06:55.880Z,38.7626648,-122.7375031,1.38,0.76,md,13,100,0.009941,0.04,nc,nc73563940,2021-05-17T21:48:12.863Z,"2km SE of The Geysers, CA",earthquake,0.31,0.37,0.11,4,automatic,nc,nc
2021-05-17T21:05:47.880Z,37.5171667,-118.7736667,5.51,2.14,md,28,60,0.05488,0.03,nc,nc73563935,2021-05-18T00:57:39.300Z,"10km WSW of Toms Place, CA",earthquake,0.31,0.8,0.248,31,reviewed,nc,nc
2021-05-17T21:00:44.900Z,32.7501667,-115.8123333,5.41,1.71,ml,38,51,0.1225,0.25,ci,ci39656415,2021-05-18T23:24:22.850Z,"17km E of Ocotillo, CA",earthquake,0.28,0.81,0.15,23,reviewed,ci,ci
2021-05-17T20:50:40.120Z,38.8349991,-122.8191681,1.41,1.32,md,27,52,0.01324,0.03,nc,nc73563930,2021-05-17T21:26:13.712Z,"8km NW of The Geysers, CA",earthquake,0.17,0.37,0.12,6,automatic,nc,nc
2021-05-17T20:47:29.020Z,38.7033348,-122.4053345,7,1.71,md,16,103,0.07333,0.07,nc,nc73563925,2021-05-17T21:15:12.653Z,"15km NNE of Angwin, CA",earthquake,0.34,0.79,0.1,9,automatic,nc,nc
2021-05-17T20:47:15.040Z,52.0851666666667,-176.116166666667,5.95,-0.25,ml,5,156,,0.08,av,av91027588,2021-05-20T02:11:34.910Z,"42 km ENE of Adak, Alaska",earthquake,0.42,0.75,0.158867968779487,5,reviewed,av,av
2021-05-17T20:42:58.620Z,33.9498333,-116.994,17.19,1.06,ml,33,49,0.1085,0.11,ci,ci39656399,2021-05-18T22:44:41.700Z,"3km NW of Beaumont, CA",earthquake,0.16,0.47,0.14,23,reviewed,ci,ci
2021-05-17T20:40:00.310Z,20.1988334655762,-155.609329223633,35.4099998474121,2.39,ml,24,286,,0.25999999,hv,hv72472787,2021-05-17T20:46:50.416Z,"9 km NNW of Kukuihaele, Hawaii",earthquake,1.87,2.78999996,4.3,5,automatic,hv,hv
2021-05-17T20:34:40.150Z,33.9926667,-116.9736667,18.25,0.89,ml,25,130,0.06269,0.14,ci,ci39656391,2021-05-18T00:20:53.525Z,"7km N of Beaumont, CA",earthquake,0.23,0.49,0.147,6,reviewed,ci,ci
2021-05-17T20:26:05.870Z,35.14033333,-95.36016667,6.28,1.04,ml,26,196,0.1088786343,0.26,ok,ok2021jqaw,2021-05-19T14:30:50.211Z,"2 km NNE of Quinton, Oklahoma",earthquake,,0.9,0.37,4,reviewed,ok,ok
2021-05-17T20:25:07.441Z,51.182,179.3014,22.47,5.4,mww,,59,1.238,1.26,us,us7000e3x8,2021-05-19T20:35:10.577Z,"292 km WSW of Adak, Alaska",earthquake,5.3,3.8,0.043,51,reviewed,us,us
2021-05-17T20:23:46.900Z,19.4356666666667,-155.601,-0.05,0.84,md,8,191,,0.11,hv,hv72472752,2021-05-18T19:47:42.880Z,"27 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.67,0.58,0.101284187279926,5,reviewed,hv,hv
2021-05-17T20:15:53.120Z,33.4245,-116.6203333,4.56,0.44,ml,19,61,0.04006,0.1,ci,ci39656375,2021-05-18T22:38:07.740Z,"15km SSE of Anza, CA",earthquake,0.17,0.22,0.111,13,reviewed,ci,ci
2021-05-17T20:10:43.660Z,18.883,-155.437166666667,21.16,1.93,md,49,258,,0.11,hv,hv72472722,2021-05-18T02:26:33.370Z,"25 km SE of Naalehu, Hawaii",earthquake,0.56,1.67,0.135306221148393,20,reviewed,hv,hv
2021-05-17T20:04:46.000Z,17.9396,-66.8865,12,2.58,md,14,220,0.2329,0.15,pr,pr2021137005,2021-05-19T07:33:45.394Z,"4 km SSE of Guánica, Puerto Rico",earthquake,0.61,0.46,0.21,8,reviewed,pr,pr
2021-05-17T20:04:17.660Z,35.8753333,-117.6805,5.75,0.17,ml,11,85,0.07643,0.15,ci,ci39656359,2021-05-17T21:21:50.201Z,"22km ESE of Little Lake, CA",earthquake,0.27,0.97,0.09,3,reviewed,ci,ci
2021-05-17T19:49:55.160Z,39.1273333,-120.0345,7.29,2.83,ml,30,65,0.1072,0.1,nc,nc73563910,2021-05-18T18:32:55.820Z,"9km SE of Dollar Point, CA",earthquake,0.19,0.59,0.154,21,reviewed,nc,nc
2021-05-17T19:49:14.720Z,37.5135,-118.774,4.13,0.94,md,18,163,0.08806,0.04,nc,nc73563905,2021-05-17T21:19:14.674Z,"10km WSW of Toms Place, CA",earthquake,0.47,31.61,0.103,17,reviewed,nc,nc
2021-05-17T19:47:30.480Z,37.5211667,-118.7941667,4.2,0.83,md,14,312,0.07414,0.02,nc,nc73563900,2021-05-17T21:37:11.768Z,"11km WSW of Toms Place, CA",earthquake,1.62,1.11,0.138,13,reviewed,nc,nc
2021-05-17T19:45:32.540Z,37.519001,-118.7756653,5.61,2.83,ml,29,111,0.08265,0.05,nc,nc73563895,2021-05-17T23:56:15.376Z,"10km WSW of Toms Place, CA",earthquake,0.36,1.22,0.324,19,automatic,nc,nc
2021-05-17T19:40:44.120Z,37.517,-118.7741667,5.79,1.04,md,22,113,0.05516,0.04,nc,nc73563880,2021-05-17T21:05:15.576Z,"10km WSW of Toms Place, CA",earthquake,0.31,0.95,0.183,19,reviewed,nc,nc
2021-05-17T19:38:09.180Z,33.9746667,-116.867,19.13,1.51,ml,54,28,0.07785,0.15,ci,ci39656327,2021-05-18T22:36:03.280Z,"6km N of Banning, CA",earthquake,0.15,0.35,0.135,22,reviewed,ci,ci
2021-05-17T19:37:02.490Z,37.5188332,-118.7751694,5.93,2.9,ml,30,111,0.083,0.05,nc,nc73563870,2021-05-17T23:40:14.515Z,"10km WSW of Toms Place, CA",earthquake,0.33,1.12,0.378,24,automatic,nc,nc
2021-05-17T19:35:30.810Z,34.7356667,-116.4248333,-0.96,1.9,ml,21,75,0.1183,0.21,ci,ci39656335,2021-05-17T21:18:55.828Z,"24km W of Ludlow, CA",quarry blast,0.43,31.61,0.151,48,reviewed,ci,ci
2021-05-17T19:34:39.006Z,61.2238,-147.6347,14.5,1.5,ml,,,,0.62,ak,ak0216aw55i4,2021-05-17T23:58:05.945Z,"65 km S of Glacier View, Alaska",ice quake,,0.4,,,automatic,ak,ak
2021-05-17T19:33:26.639Z,32.71453857,-100.6808546,6.138142904,1.5,ml,14,69,0.06448616097,0.2,tx,tx2021jpzd,2021-05-18T21:48:56.501Z,"11 km NE of Hermleigh, Texas",earthquake,1.031188441,2.272256494,0.1,8,reviewed,tx,tx
2021-05-17T19:31:36.880Z,35.7011667,-117.4071667,1.02,-0.1,ml,6,190,0.1229,0.12,ci,ci39656311,2021-05-17T21:13:59.460Z,"7km S of Searles Valley, CA",earthquake,0.85,0.51,0.027,2,reviewed,ci,ci
2021-05-17T19:28:27.965Z,37.4078,-117.095,5.3,0.8,ml,10,150.2,0.17,0.1398,nn,nn00807451,2021-05-17T19:37:56.894Z,"35 km SSE of Goldfield, Nevada",earthquake,,3.2,0.16,7,automatic,nn,nn
2021-05-17T19:28:16.370Z,54.5203333333333,-163.372833333333,6.3,1.28,ml,6,313,,0.26,av,av91246176,2021-05-19T22:31:48.640Z,"37 km S of False Pass, Alaska",earthquake,3.59,2.25,0.187896849383782,6,reviewed,av,av
2021-05-17T19:24:39.900Z,39.127,-120.0316667,7.17,3.35,mw,19,66,0.109,0.09,nc,nc73563860,2021-05-19T20:04:04.587Z,"9km SE of Dollar Point, CA",earthquake,0.24,0.69,,3,reviewed,nc,nc
2021-05-17T19:24:35.470Z,33.5916667,-116.8045,7.07,0.01,ml,13,158,0.03378,0.08,ci,ci39656287,2021-05-17T21:11:12.368Z,"13km WNW of Anza, CA",earthquake,0.28,0.38,0.039,2,reviewed,ci,ci
2021-05-17T19:19:36.230Z,38.8006668,-122.8161697,2.62,1.14,md,26,65,0.01305,0.03,nc,nc73563855,2021-05-17T23:10:14.353Z,"6km WNW of The Geysers, CA",earthquake,0.23,0.4,0.06,6,automatic,nc,nc
2021-05-17T19:15:33.460Z,38.8201675,-122.8619995,3.05,0.79,md,9,84,0.008385,0.02,nc,nc73563850,2021-05-17T19:38:36.787Z,"10km WNW of The Geysers, CA",earthquake,0.38,0.86,0.1,2,automatic,nc,nc
2021-05-17T19:13:05.090Z,46.7708333333333,-122.695,-0.26,1.44,ml,14,111,0.1081,0.5,uw,uw61733341,2021-05-17T21:54:46.540Z,"13 km S of Rainier, Washington",explosion,0.74,31.61,0.17813521760727,6,reviewed,uw,uw
2021-05-17T19:11:20.890Z,32.9425,-116.2143333,10.51,0.52,ml,14,112,0.07584,0.09,ci,ci39656271,2021-05-18T22:09:52.498Z,"24km SSW of Ocotillo Wells, CA",earthquake,0.23,0.48,0.048,4,reviewed,ci,ci
2021-05-17T19:06:58.422Z,62.9138,-150.1424,80.3,1.6,ml,,,,0.39,ak,ak0216avz6xy,2021-05-17T19:11:18.972Z,"51 km N of Chase, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-05-17T19:05:14.157Z,61.3976,-151.1356,69.6,1.2,ml,,,,0.37,ak,ak0216avyvsj,2021-05-17T19:09:38.473Z,"28 km N of Beluga, Alaska",earthquake,,1.9,,,automatic,ak,ak
2021-05-17T19:03:34.511Z,31.97662354,-102.3293397,7.263061523,1.5,ml,16,45,0.02262108354,0.2,tx,tx2021jpyd,2021-05-18T20:45:03.404Z,"6 km SE of Gardendale, Texas",earthquake,0.8296217106,0.7923221514,0.1,7,reviewed,tx,tx
2021-05-17T18:50:38.880Z,39.4181667,-110.3025,-3.16,1.25,md,7,199,0.01848,0.09,uu,uu60436272,2021-05-17T21:11:52.220Z,"16 km SSE of Sunnyside, Utah",earthquake,1.27,3.2,0.216,7,reviewed,uu,uu
2021-05-17T18:46:50.630Z,38.8291664,-122.8144989,3.59,0.85,md,13,60,0.00672,0.04,nc,nc73563845,2021-05-17T19:01:14.563Z,"8km NW of The Geysers, CA",earthquake,0.46,1.45,,1,automatic,nc,nc
2021-05-17T18:41:10.250Z,37.908,-118.5598333,10.14,1.81,md,27,124,0.2022,0.07,nc,nc73563840,2021-05-18T02:45:13.904Z,"40km NNE of Toms Place, CA",earthquake,0.29,1.88,0.168,25,reviewed,nc,nc
2021-05-17T18:36:56.140Z,51.7343333333333,-179.072833333333,8.39,1.35,ml,9,284,,0.2,av,av91246121,2021-05-19T21:59:12.500Z,"168 km W of Adak, Alaska",earthquake,1.06,0.42,0.272417154647182,9,reviewed,av,av
2021-05-17T18:35:15.199Z,63.0103,-151.5342,0,1.1,ml,,,,0.65,ak,ak0216avjvs0,2021-05-17T18:51:46.133Z,"59 km S of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-05-17T18:35:12.730Z,38.8134995,-122.8300018,2.2,0.63,md,21,48,0.004669,0.02,nc,nc73563835,2021-05-17T18:51:14.809Z,"8km WNW of The Geysers, CA",earthquake,0.21,0.4,0.26,4,automatic,nc,nc
2021-05-17T18:31:48.466Z,61.881,-150.4478,52.8,1.3,ml,,,,0.46,ak,ak0216avj3ha,2021-05-17T18:34:33.681Z,"26 km NW of Willow, Alaska",earthquake,,1.3,,,automatic,ak,ak
2021-05-17T18:23:34.440Z,36.5126667,-121.0831667,6.79,1.29,md,22,77,0.0527,0.08,nc,nc73563825,2021-05-19T02:47:14.032Z,"6km ESE of Pinnacles, CA",earthquake,0.33,0.43,0.159,20,reviewed,nc,nc
2021-05-17T18:16:59.090Z,32.7481667,-115.8291667,6.69,1.29,ml,29,60,0.1274,0.19,ci,ci39656215,2021-05-18T21:26:21.770Z,"15km E of Ocotillo, CA",earthquake,0.22,0.94,0.141,13,reviewed,ci,ci
2021-05-17T18:15:15.660Z,32.746,-115.8123333,8.86,0.99,ml,14,139,0.1206,0.17,ci,ci39656207,2021-05-18T13:38:04.992Z,"17km E of Ocotillo, CA",earthquake,0.37,1.01,0.232,6,reviewed,ci,ci
2021-05-17T18:01:50.980Z,39.4201667,-110.3126667,-1.73,0.95,md,4,196,0.0104,0.02,uu,uu60436262,2021-05-17T19:19:00.260Z,"15 km SSE of Sunnyside, Utah",earthquake,1.05,0.88,0.405,4,reviewed,uu,uu
2021-05-17T17:56:28.680Z,37.907,-118.5525,2.32,1.49,md,21,122,0.1971,0.05,nc,nc73563815,2021-05-18T02:18:14.766Z,"40km NNE of Toms Place, CA",earthquake,0.31,2.33,0.184,20,reviewed,nc,nc
2021-05-17T17:56:21.491Z,61.7749,-150.9202,62.4,1.1,ml,,,,0.31,ak,ak0216av2yp1,2021-05-17T17:59:37.065Z,"33 km NW of Susitna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-05-17T17:52:53.799Z,35.1245,-95.3835,7.21,2.07,ml,50,131,0.1043795172,0.2,ok,ok2021jpvv,2021-05-17T18:11:12.683Z,"1 km W of Quinton, Oklahoma",earthquake,,0.4,0.25,12,reviewed,ok,ok
2021-05-17T17:44:36.517Z,66.2846,-156.9689,0,1.2,ml,,,,0.71,ak,ak0216av0f9f,2021-05-17T17:48:25.669Z,"67 km S of Shungnak, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-05-17T17:42:23.840Z,38.841835,-122.8251648,1.88,1.03,md,25,73,0.008688,0.03,nc,nc73563810,2021-05-17T17:59:15.648Z,"9km WNW of Cobb, CA",earthquake,0.2,0.38,0.22,5,automatic,nc,nc
2021-05-17T17:41:37.760Z,46.243,-122.349166666667,-1.16,0.83,ml,9,239,0.0626,0.13,uw,uw61733306,2021-05-17T18:42:23.400Z,"33 km SSE of Mossyrock, Washington",earthquake,0.59,13.47,0.0673140068617251,6,reviewed,uw,uw
2021-05-17T17:36:46.890Z,58.285,-154.905,5.28,-0.62,ml,7,153,,0.22,av,av91027578,2021-05-20T01:58:21.660Z,"84 km NNW of Karluk, Alaska",earthquake,0.66,1.9,0.245784022188569,7,reviewed,av,av
2021-05-17T17:32:23.130Z,19.1648330688477,-155.443328857422,36.4900016784668,2.01999998,md,35,210,,0.119999997,hv,hv72472432,2021-05-17T17:35:23.700Z,"5 km SE of Pāhala, Hawaii",earthquake,0.7,0.99000001,2.01999998,4,automatic,hv,hv
2021-05-17T17:26:24.940Z,54.1485,-165.971666666667,3.37,-1.23,ml,6,96,,0.23,av,av91027583,2021-05-20T02:02:07.390Z,"12 km W of Akutan, Alaska",earthquake,0.49,1.45,0.200274822828499,6,reviewed,av,av
2021-05-17T17:16:37.030Z,34.479,-97.23033333,0,1.4,ml,28,102,0.129574573,0.4,ok,ok2021jpup,2021-05-19T13:32:06.622Z,"10 km WSW of Davis, Oklahoma",quarry blast,,0.9,0.25,4,reviewed,ok,ok
2021-05-17T17:15:43.490Z,32.938,-116.2193333,9.33,1.28,ml,49,42,0.07258,0.18,ci,ci39656135,2021-05-18T21:17:37.210Z,"24km SSW of Ocotillo Wells, CA",earthquake,0.19,0.59,0.078,24,reviewed,ci,ci
2021-05-17T17:15:15.635Z,-18.9098,169.2324,226.89,4.4,mb,,75,3.952,0.69,us,usd000f1vt,2021-05-17T20:50:39.040Z,"70 km N of Isangel, Vanuatu",earthquake,9.8,10.6,0.066,66,reviewed,us,us
2021-05-17T17:15:15.609Z,-18.9031,169.265,228.9,4.5,mb,,84,3.961,0.7,us,us7000e3vb,2021-05-17T17:42:32.040Z,"70 km N of Isangel, Vanuatu",earthquake,9.5,8.6,0.08,46,reviewed,us,us
2021-05-17T17:14:58.320Z,36.36783333,-97.34583333,5.57,1.39,ml,80,60,0,0.31,ok,ok2021jpuo,2021-05-17T17:30:32.435Z,"10 km NNW of Perry, Oklahoma",earthquake,,0.6,0.24,35,reviewed,ok,ok
